reviewer,review_text,rating,review_date,platform,reviewer_type
oknotokk,> 9.5 Great. Best boss fights in the series. Mechanics have become much smoother compared to the previous two games. Levels could have been better like first game.,9,2025-02-28,PLAYSTATION 4,user
Dream_For_Game,"Dark Souls III: An Examination of a Challenging and Evolved MasterpieceDark Souls III is a title that immediately conjures an image of a breathtaking challenge and an evolved experience compared to its predecessors. In a succinct description, it can be deemed “extremely difficult.” While the first two installments of this series also received similar reviews upon their release, this particular iteration has proven increasingly difficult and challenging, deterring many from continuing the journey, unaware that they are being deprived of experiencing a high art **** mechanics and gameplay of this title are significantly in line with the previous two entries; the player steps into the cold and soulless world of Dark Souls with a slew of unanswered questions and uncertainties regarding their motivation for battle. As mentioned earlier, the gameplay has overall integrity, but is accompanied by more finesse and fluidity, completely eliminating the dry and disjointed feel of Dark Souls II’s gameplay. In fact, from a gameplay perspective, Dark Souls III demonstrates remarkable and significant progress. However, other aspects remain largely the same, and the player is required to upgrade their weapons throughout the game. Also, if using a “magic build,” searching and discovering various spells becomes essential. The overall structure of the game, despite the vastness of the environments, follows a linear path, avoiding providing the player with unbridled freedom of action.From a visual standpoint, the game’s graphics have improved compared to the previous version. However, what has always been of great importance in the Dark Souls series is the atmospheric and innovative design of the game’s environments, which encourages the audience, despite the excruciating difficulty of the game, to persevere and advance. In addition to the eye-catching environments, the side characters and side quests are designed with such quality that they encourage the player to experience the game repeatedly in order to fully understand the events; a point that was also evident in NieR: Automata.Meanwhile, Boss Fights have always been known as one of the most memorable and prominent pillars of the Dark Souls series. This version not only preserves this authenticity but also provides battles with far superior and more challenging designs compared to the previous two entries. Although the design of the game’s environments and boss fights appears impressive overall, some environments lack sufficient appeal, and some bosses ultimately appear so weak that they can be considered ordinary enemies.Nevertheless, Dark Souls III confronts the audience at every moment with its novel challenges and unique surprises. Each environment, in addition to its specific boss, benefits from unique traps and special enemies. In this game, there are numerous ways to complete: using hand-to-hand combat, using magic, or a combination of both. Ultimately, the game’s ultimate goal will be to ignite the First Flame, extinguish it, or enter an age of darkness.Regarding storytelling, Dark Souls III refrains from providing a straightforward narrative. With the exception of the game’s initial cutscene, the storyline continues to be presented solely through the texts in the items. This allows the audience to determine the amount of clarity or ambiguity of the story. Although many players, due to the difficulty of the game, the challenging battles and the attractive boss fights, do not pay much attention to the story, Dark Souls III has a rich and complex story that can be confidently considered the richest and most complex story in the history of video games. In order to understand this story, a careful examination of all the items and a study of the narratives related to them is essential. Interacting with the game’s characters can also help to better understand the story.Ultimately, Dark Souls III offers an experience that transcends the ability of any other game.",10,2025-02-12,PLAYSTATION 4,user
BumpkinSTABBY,"this is just a classic dark souls game. it has everything you would expect in a good ds game. bosses are great, movement is great. and the difficulty is reasonable. what i didnt like however, is that the game started to grow bigger, more open spaces, more open fields but less branching paths. it honestly feels like they were prepairing for an open world ds game. honestly if they had released elden ring instead of ds3 and called it ds3 i would absolutely love it. as it stands though, ds 3 is great and elden ring is just ds 3 with big open fields.",9,2025-02-04,PLAYSTATION 4,user
ultrasoft,"Smooth and fun to play, they really refined the mechanics of play nicely. It's the best feeling in the hands that Dark Souls ever gets. There is a multitude of fun stuff to collect and play with, and tons of character builds to make. I had a lot of fun as a sneaky sorcerer, a twin blade wielding sellsword, and a healing cleric, and many others. The bosses are some of the funnest (and toughest) in the series. My favourites being the epic Slave Knight Gael fight, the Twin Demons and the Lothric and Lorian fight, which I feel comes closest to a DS1 boss in terms of tonality. Unfortunately, the game is far more linear than DS1, which weakens replay value. The lore, story, characters and writing failed to provoke the same gutpunching emotional connectivity of DS1 for me. There is a similar lack of genre (and game convention) bending innovation, mysterious weirdness, and just plain oddball stuff that made me fall in love with DS1. It's a bit too smoothed over in many regards, which I am sure is a pro to newcomers to the series and more casual gamers. It suffers from being a sequel and being the most formulaic iteration of Dark Souls so far. DS2 took more risks, which I respect, even though I am not a great fan of DS2 overall. There are fewer truly low points than DS1 (there is no truly obvious nadirs like Izalith) which is a positive, but there are fewer highs. It is a fun game (I played many hours, mostly co-opping bosses) but it just cannot stand up to DS1 or Bloodborne, and in that regard I couldn't help but feel some dissapoinment. There is a lot to like, but ds3 fails to be a brilliant game transcending experience I felt I got from DS1, which is, to be fair, an extremely lofty standard to live up to.",7,2025-02-01,PLAYSTATION 4,user
An1mal_1337,"Невероятная игра. Взяла всё самое хорошее из предыдущих игр серии, добавила динамики, отличных боссов, класных локаций и решила преправить это продолжением и завершением истрии из ДС1. 10/10",10,2024-02-12,PLAYSTATION 4,user
ooooooooa,"This game is not even a open-world game, but it gave me the vibe like it's almost a sandbox. Not like the other games almost welcoming and guiding the player to explore and move on, the world in Dark Soul III just quietly and ruthlessly awaits the player to try again and again until you finally discover the truth of this dying world.",9,2025-01-24,PLAYSTATION 4,user
Kaylan44,"Took all the strong points of DS1, DS2 and Bloodborne and mixed it all into one game with top notch graphics. Clearly a classic.",10,2025-01-24,PLAYSTATION 4,user
Devitz,"A masterpiece full of incredible atmosphere, challange and satisfying gameplay.",10,2025-01-13,PLAYSTATION 4,user
dinosmagos,"É um jogo muito desafiador e não tem um pingo sequer, um pingo de paz. Só tem se você fechar o jogo e fazer outra coisa. E recomendo. Se você quer um jogo desafiador , vá em frente e jogue esse jogo. Tem um chefão que você vai quase pirar de tão difícil é o chefão.",9,2025-01-12,PLAYSTATION 4,user
Nils_jost,[SPOILER ALERT: This review contains spoilers.],10,2025-01-05,PLAYSTATION 4,user
