reviewer,review_text,rating,review_date,platform,reviewer_type
Krat,"С модами пойдет, без модов полный пиздец. Прародитель Рпг= легенда. Хз как раньше, но мне даже с модами не зашло.",5,2025-03-03,PC,user
Ginbae,"Honestly? At first I was a bit confused. Once I got the hang of it. I started to like it more. The music/ambience is great, the Voice acting is great, it looks nice kinda Runescape style. I bet this game must have been great when it came out! I recommend all to try who want to jump into Diablo. Especially to play in order.",8,2025-03-02,PC,user
xboy1024,"A great classic which I couldn't finish back at the time, but now I've finished it and I had a lot of fun.",9,2025-01-05,PC,user
YitanQuispe,"10/10 un clásico de clásicos que dio un paso adelante para la evolución de los rpgs, espero algun dia lanzen su remaster que es mi favorito de la saga, Blizzard...",10,2024-09-01,PC,user
Thwompthing,The game that almost caused me to fail a grade. The game that started it all.,10,2024-08-19,PC,user
the_matriarch,"I played this game a little too young, and I was absolutely gripped with terror. The bloody, demonic hellscape, the 1990's digital graphics, and a piercingly potent soundtrack created an unbeatable aesthetic.",9,2024-06-21,PC,user
Maveriick,"Joguei quando era adolescente, entre 13 e 15 anos, por volta dos anos 2k. Foi sensacional! Nunca joguei nenhum com esta jogabilidade e me conquistou. Bem dinâmico e, ao mesmo tempo, exigindo estrategia. Joguei com Warrior e suei muito para terminar o jogo a primeira vez. Sempre juntava vários amigos para auxiliar o da vez. Em 2023 encontrei o jogo D1 a venda com sua expansão Hellfire, que só tomei conhecimento 10 anos após jogar o D1. Não resisti. Comprei e estou jogando novamente. E digo, continua divertido.",10,2024-06-06,PC,user
PenetratorGod,"Since I don't have nostalgic feelings, it's easier to comment objectively. The game hasn't aged well, unfortunately. It has no QoL updates by today's standards that will allow you to play the game for long hours.",5,2024-02-27,PC,user
Galaxy_Surfer,"my first serious game on PC. Game isn't perfect, but its atmosphere, music, characters... you close your eyes, play Tristram music, and back to your desk on 1996...",10,2024-01-29,PC,user
stodor89,It's a decent game. I wish the character could run... but that'd probably sort of ruin the atmosphere. It's a fun play even in 2024.,7,2024-01-25,PC,user
Motichoor420,"Having played Diablo 2 before this atrocious mess, I had savoured just how many improvements had been made since the original Diablo was made. Not only were the graphics vastly improved, but the gameplay too, plus more. Let me annhilate Diablo 1 to explain myself. Graphics...good, fro a 1996 game, no doubt about that. Music...dull and pointless; are we playing a horror rpg or dungeon crawler? WHATS WITH ALL THAT LOOPED SCREAM!?!? The menu setup is horrendous, you have to click here and there just to choose one item, and there's not enough room. Also, whilst you may power up and beat the hell (pun intended) out of the demonic hordes, when it comes to the main boss per area, boy, does he knock seven bells out of you (your so -called improved armour not only disintegrates per boss blow, but your health gets zapped too, and yes, the flimsy menu does not help either, when u need health, mana, etc). Also, the storyline would have been fab if the game play etc would have been implemented correctly. The monotonous slashing/arrowing flinging, coupled with spells that cant faze the bosses, is just so annoying and repetitive. I gave Dungeon Siege 1 a bad score, but after suffering the repeated humiliation after hours and minutes of leveling up, really made me grind my teeth. Needless to say, I gave it to my local charity shop so someone else could suffer its bizarre shenanigans. And people say this is a world-renowned eye-opener...pfffffffff!!!!!!",2,2024-01-03,PC,user
LT_Gruber,[SPOILER ALERT: This review contains spoilers.],10,2023-12-28,PC,user
Fake_Stalker,"Playable game even from todays perspective. Random generated dungeons pretty interesting to clear. But game not aged that well. Character controll is bad, mobs sometimes too hard too kill",6,2023-12-01,PC,user
Giann96,"Buena ambientación, buen soundtrack e historia simple pero cautivadora. El problema es sin duda el gameplay, es demasiado repetitivo.",6,2023-10-15,PC,user
Keron_Heruman,"It was a revolutionary game, but I don't like it, only click&click to kill enemies with no history or special concepts, no enough variation, only push down floor by floor",7,2023-08-28,PC,user
Richard_dias,"I really liked Diablo 1 when I first played it. A dark fantasy game with challenging gameplay and nice art? Sign me in. Nowadays FromSoftware is doing it better, but the OG Diablo 1 have its place in my memories.",9,2023-08-15,PC,user
fnenamg,"Well-crafted playground. Simple yet charming. At that time, Blizzard was completely different from what it is now...",8,2023-08-13,PC,user
andre_pl,Diablo 1 is still great game but needs mods like DevilutionX. It's superb when playing with The Hell 2 mod.,9,2023-08-10,PC,user
Gams1,"creepi, scary, every monster can kill you and makes exploration terrifying. I played it again in 2022 and the charm is still there, 100x better than D4 XD",9,2023-07-27,PC,user
iLi87,a better game than diablo IV I've spent over 2000 hours in it and I really recommend it for the experience and gameplay,10,2023-07-20,PC,user
AdamM88,"An absolutely amazing game. If you pick this up in 2023, and you should, then play it with the mod called The Hell for the best experience.",10,2023-06-13,PC,user
chosenam,A masterpiece that made me feel scared while playing games late at night. I was 20 years old.,9,2023-05-28,PC,user
UmutYldrm,i thınk this game not realy because this game perfect and better than other games,9,2023-04-23,PC,user
shkipermann,{__/} ( • - •) /つ______________________________________________________________________,8,2023-02-25,PC,user
xcale,"Please all hail before the mighty Diablo franchise. This game created a term for average gamer: ""Diablo like"". Possibly ancestor of hack and slash ARPG.",10,2023-02-23,PC,user
LongVampire,"Игра интересная только на определенных классах, и до определенного уровня подземелья. Дальше это рутина.",7,2022-06-28,PC,user
LaDix,"It is pretty good, old but good, nothing more to say really, it is like diablo 2 just older and less fun.",7,2022-06-25,PC,user
Antohadance,Базированная игра основавшая жанр диаблоид. Всё ещё играется увлекательно и выглядит неплохо,9,2022-06-22,PC,user
Pendali,"What's there to say!? It's THE ledgenday Diablo, from the time when Blizzard was the best game studio in the world. The stuff that Sweet childhood memmories are made from.",10,2022-06-16,PC,user
Kruul,"Atmosphere, music, voice acting, progression pacing, this game is a masterclass in all of the above. Only the gameplay and abilities/spells show their age a little, but if you go into it expecting an old school classic arpg that defined the genre, you will not be disappointed.",10,2022-06-11,PC,user
Boldanone,"Very cool game, cool spooky atmosphere. The game is fun to play. It's had a great impact on the industry, so you should check it out.",8,2022-06-09,PC,user
Kunray,I recommend giving it a try. This game are awesome. 10/10 2022 Diablo Epic,10,2022-06-08,PC,user
Gazownik,My first experience with Diablo 1 was on playstation and it was the worst thing that happened to me... I'm a Blizzard fan (not anymore after WoW SL release) but this game was such a garbanzo back then. I bet it would be different if played on PC.,3,2022-06-08,PC,user
ConstantineDice,"Grew up on this game. Sure it has old mechanics, and it feels somewhat clunky compared to today's (2022) games... but this game is still a hardcore gem of an adventure. If you don't mind the old school game once in a while, you should try it.",9,2022-06-08,PC,user
hyrts,This game launched a new series. A new genre. I played it way later than I should have. But the RPG and grindy elements really got me.,10,2022-06-04,PC,user
joglow,The start of my game life literally. My first game ever. And I played it two months straight until I realized I played the demo only. Still better than any other game at that time.,9,2022-05-16,PC,user
Lunartig,"Still a go-to game. If I could have the hours I've spent playing this game back, I wouldn't want them. I am the rogue. I'm no milk maid.",10,2022-05-03,PC,user
Nepen1he,"games out of politics, juegos fuera de la politica, jogos fora da política",0,2022-03-10,PC,user
proprosmert01,The legendary game is the progenitor of the genre created by those Blizzards who created masterpieces,8,2022-01-07,PC,user
Amorph0us,"The first of its kind. Whoever digged this at 86, found a goldmine. A designer must always look back on what has gone well with this game to find answer about the current age.",10,2022-01-06,PC,user
actinium,/ /,9,2021-11-18,PC,user
kiyoff,piece of history and the best diablo... Must play game... Diablo 2 sometimes is boring but Diablo 1 is a jewel.,10,2021-10-10,PC,user
Woolee,The nostalgic feeling I get form thinking about this RTS trend setter for so many games. Made me start getting into the genre I will never leave. Just epic.,10,2021-09-26,PC,user
davey16,"A helluva start to this series. Easily the second best game in the series. Its only draw back is its lack of depth compared to D2. If not for that game, I would rate this even higher. Also, still feels like a better game than D3 to this day.",7,2021-09-20,PC,user
OldCrotchety,"The music, sound design, and aesthetic are all great. Generally, this game holds up surprisingly well, but it is held back by its often frustrating level design and poor AI.",6,2021-06-27,PC,user
Surrogate6,I loved the mood of the original diablo but compared to its sequel Diablo is a bit outdated.,8,2021-05-11,PC,user
diablooomen,Тема тристрама навсегда в моем сердечке. Спасибо близы за счастливое детство.,10,2021-05-02,PC,user
BFG-1337,"In rating this game as if its 1996, but ill tell you how it holds up now. The atmosphere is the main thing and the village music is stuck in my head with the walking patter sound. You can still enjoy this game if you just forget that its 2021 and imagine you are in 1996.",9,2021-03-28,PC,user
Kai82,"Hard to rate today. Back then I would give a 9/10 and would praise the dark atmosphere, good gameplay and mechanics that keep you going on to improve your character. My negatives would be that it could be longer as I finished the game quite fast and that the conclusion is not that satisfying (but a great set up for Diablo 2). Today it is not that good anymore as newer games have set the bars higher and Diablo 2 is better in all regards. So today I am more in the 6/10 range but must say I am under the influence of nostalgia and it could be worse for those who have not played it before. It is an action RPG and for many a primary example for hack and slash. A mayor aspect is getting better equipment from loot or merchants to steadily improve your character (There is the newer term “Loot porn” for this kind of games;-). The game is set in the town Tristram which was build on / near the ruins of an old monastery. There strange things happen as people vanish and live in a state of fear as there are rumors about the things that lurk in the underground of the ruins. Your character is an adventurer that wants to solve the mystery and explore the ruins. Good set up and atmosphere. Story wise it does a bit more than is needed and I appreciate this especially in its genre. For the gameplay: You chose between 3 characters: Warrior who focuses on melee, rouge who focuses on ranged combat and sorcerer who is specialized in magic. Each one has a unique ability and different limits for the attributes. I used all characters and favor the rogue for ranged attacks as they made the game easier. You get experience by killing monsters and side quests. For each level up you get 5 ability points that can be put into the 4 stats strength, magic, vitality and dexterity. These are connected to lifepoints, mana, hit% etc. There are of cause also items that raise these stats and you are always on the hunt for better loot / equipment. There are ability point restrictions for items and spells. For clarification: You can in theory learn all spells and use all items for all characters. However a warrior has a much lower limit for magic than the sorcerer so that higher level spells are not possible to learn (Don't remember if you can outmaneuver this with equipment that raises the stats). Also it would be a waste to nullify the class advantage but you are free to develop your characters as you want. You explore the underground of the ruins and go deeper and deeper while fighting stronger and stronger enemies. If you do not get better items and level up you will be at a huge disadvantage. The items have rarity levels and the rarer the better as by genre standards. Remark: Uncommon items must be identified and there is a degradation system in place. You can of cause repair these in the town. I already point out the negatives that the game is too short for me and the conclusion can be a disappointment (But is fully justified by lore and story). The graphics were good for its time but did not age that well. Maybe a bit to dark in some places but that is the set up for a dark scary dungeon so I cant complain here to be fair. Overall this was an excellent game for its time and started a successful franchise. I have fond memories of it (“Fresh **** has one of the most loyal fan bases and is well know. I can not recommend it today for new players as I am too biased by nostalgia and newer games make this look inferior. However I can recommend it for those who want to experience the basic of franchises and it gives a clear example how a game series can evolve. I give an 8/10 with a nostalgia bias warning.",8,2021-03-28,PC,user
Gorbunov2004,Хорошая игра много врагов много оружия множество возможностей очень крутая игра.,8,2021-03-25,PC,user
Kotofon,"Diablo – игра в стиле тактической РПГ, где ты будешь постоянно сталкиваться с различного рода испытаниями, сложность которых постепенно будет возрастать. Возьми на себя исполнение роли отважного бойца и отправляйся на сражение со всеми, кто посмел встать на сторону зла",7,2021-02-26,PC,user
