reviewer,review_text,rating,review_date,platform,reviewer_type
Artyrus,[SPOILER ALERT: This review contains spoilers.],10,2025-03-03,PC,user
roluth,"elden ring has become my favourite game, it has great replay-ability, awesome visual, great gameplay, great bosss fights,IT'S FREAKING HUGE and overall a great experience for those who can finish darksouls genre **** as for the sote dlc it is great however you see it, it doesn't lose to anything and to be honest as a dlc it's bigger and better than some games when it comes to content.",10,2025-02-20,PC,user
NoobnGrelou,[SPOILER ALERT: This review contains spoilers.],7,2025-02-14,PC,user
EldenSchmutz,"Unglaublicher Müll! Ich frage mich ernsthaft, was mit den Menschen heutzutage nicht stimmt, dass sie so ein dermaßen schlechtes Spiel feiern können. Es sieht nicht nur aus wie der letzte Mist, sondern stellt sich in den meisten Fällen auch als genau das heraus: absoluter Schrott. Die Möglichkeit, das Spiel zu pausieren? Fehlanzeige. Logisch durchdachte Level? Genauso wenig vorhanden. Stattdessen bekommt man ein chaotisches Durcheinander serviert, das weder Spaß noch Sinn ergibt. Wie kann so etwas ernsthaft positiv aufgenommen werden? Das Gameplay ist einfach nur frustrierend, die Grafik eine absolute Katastrophe, und von Innovation fehlt jede Spur. Ich verstehe wirklich nicht, wie man bei so einem unterirdischen Produkt auch nur einen Funken Begeisterung empfinden kann. Es wirkt, als hätte niemand wirklich Herzblut oder Mühe hineingesteckt, und trotzdem wird es gefeiert. Unbegreiflich!",0,2025-02-07,PC,user
BumpkinSTABBY,dark souls 4.5 is a new dlc for dark souls 4. its got a nice new tree and an open world to make you lose your mind when you get lost in the maze-like structure of it.,6,2025-01-31,PC,user
Wavew,"Demasiado oscuro, hasta el punto que he tenido que dejar de jugarlo. Por lo demas, aburrido.",0,2025-01-29,PC,user
ZEZE10,One of the better souls games out there especially with the new dlc didnt expect radhan to comeback and shower me in holy,10,2025-01-11,PC,user
safari,"ilk oyunu 200 saat oynadım her şeyinden zevk aldım. dlc de oynamadan önce bi daha 200 saat orjinal oyunu oynayıp ardına 50 saat hemen dlc ye girince aradaki farkları çok iyi anlıyorsun. orjinal oyunun haritasındaki sade ama keşfedilebilir okuması kolay olan haritası burada gereksiz karışık. moblardan bosslara kadar her karakter gereksiz zor sanki oyunun karakterleri zevk alsın diye ben onun dünyasındayım. özellikle str dışındaki oyuncuları zorluyor oyun. son boss un zorluğuna karar veren japon Allah sız büyük ihtimal ki japonlar %70 ateist olduğundan hakikaten Allahsız olması olası başka birşey demiyorum. oyunda yine sık sık güzel manzalara bakarken kendimi buldum.10 vermek istemiyorum ama 9 da vermeye elim gitmediğinden 10 verdim 9,5 luk bence",10,2025-01-01,PC,user
AL3X3772,Best DLC i have EVER played. It has some of the most interesting lore. Bosses are difficult but thats what makes it so fun to play also almost gave up trying to beat radahn but the game was that addictive i just had to beat him. 1000% recommend,10,2024-12-25,PC,user
MidTakes4Me,FromSoftware delivers strongly on the expansion for Elden Ring. The expectations couldn't have been higher and yet they delivered. Even I didn't expect the world to be as massive as it was with cave systems making the already vasy world alomst double the sizey ou'd see on the map.,10,2024-12-19,PC,user
Java113,"Elden Ring: Shadow of the Erdtree is the perfect DLC for a perfect game. It not only expands the lore but also introduces new mechanics, excellent fights, and a breathtaking artistic direction. 10/10",10,2024-12-13,PC,user
ElComandante,"Masterpiece, the story, the atmosphere is amazing and the creativity in some bosses are outstanding",10,2024-11-30,PC,user
SyenCaster,"Everything a dlc expansion should strive to be. The bosses, the music, the map, the npc stories, all excellent! You could easily spend 100 hours to see and do everything in the dlc alone.",10,2024-11-25,PC,user
yesking_goat,"This DLC buns is compared to the base game which is already heavily overrated. If I had to give you a quick summary I would say empty map, mid weapons and 3 good bosses, every other boss is horrible and so are the normal enemy types.Still waiting for Miyazaki to make a better game than DS1",0,2024-11-24,PC,user
