reviewer,review_text,rating,review_date,platform,reviewer_type
Harshverma9580,Just using Three words to describe this game. A TRUE MASTERPEICE!!! What a story and gameplay with stunning graphics.must try game.,10,2025-03-14,PLAYSTATION 5,user
zellfernet,"This game is so beautiful that I cannot describe it enough. I was so sceptical about this game and how it would look in comparison to the original, since the original is so big and perfect but I can say I am amazed with Rebirth. The game is huuuuge and the world is so big and beautiful, graphics are impressive, gameplay is polished to maximum and the story is great. The only thing that is somehow downgrading the game is too many (stupid) minigames and quests that are forcing you to explore the world but are very boring because they are all the same in every region. Instead it would be better if the game is a little harder so you are forced to get stronger by yourself and with many more secrets to explore by yourself, like in the original. And of course, instead of a million stupid quests they could've made one big game (all three parts) at once. BUT, the game is perfect and you should play it ASAP! We are waiting now for part III.",10,2025-03-08,PLAYSTATION 5,user
louiestrider,"After playing 80 hounrs, I seriously couldn't take it anymore when I reached the middle of Chapter 12. Square Enix is so keen on messing with players and disrupting theirehythm. Admittedly, the world map and the combat system are incredible, probably the best, but the overall experience is the most frustrating and disgusting one I've ever had in any game.I guess the subtitle of the final episode will be Reunion, but honestly, I really don't want to ""reunite"" with the production team of Rebirth ever.",1,2025-03-07,PLAYSTATION 5,user
Nightmeer08,"One of my favorite games of the last several years. Almost everything about this game is perfect. The graphics are too notch, the gameplay is great, the story is solid of course, and the music is PERFECT. The side stuff in this game is also incredible. Towards the end I did find myself almost wanting it to just go ahead and end, just because it was so long and the end stages are very long. But that’s all final fantasy games",9,2025-03-06,PLAYSTATION 5,user
momognu,不要那么多小游戏卡关啊~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,8,2025-03-05,PLAYSTATION 5,user
Emanuelmacedo,O meu jogo do ano !Uma total evolução do remake! Sem sombra de dúvida uma obra prima,10,2024-03-20,PLAYSTATION 5,user
Ygzbrn1,"This game is one of the greatest of all time. İt takes what remake did great and bad, and takes them to a lot higher points. The charachters, combat, open world, the story... All are significantly better than remake. Dont get me wrong remake is a good game, a great game actually. But it had problems, a lot of problems. Now i wont get into much detail with that but Rebirth takes remakes flaws and polishes them till perfection. Of course there are some flaws in this game too like; filler chapters and its way too big for its own good. But still even with its mistakes, Final Fantasy 7 Rebirth is a near perfect game and one of the greates experiences that i ever had.",10,2025-03-01,PLAYSTATION 5,user
Docchicken13,"Amazing game, almost perfect if not for an annoying platinum where you need to Basically perfect all side mini games on hard difficulties. Some of the traversal mechanics can also be annoying at times but these are nitpick in an otherwise near flawless gaming experience. Astrobot is great too but sort of a joke as goty when you compare the scopes between these games.",10,2025-02-28,PLAYSTATION 5,user
bcj919,"Graphics are amazing with cool **** combat is only fun for 2-4 characters (one of whom you only get to play at the very end). I never played the original game, but between this and the prior FF7 on PS5, I am burned out on it. It took me nearly a year to finish (as a dad who only plays on the Portal), & at the end I just put it on easy mode so I could be done.",7,2025-02-27,PLAYSTATION 5,user
MonkeyDIvan,"Up there as one of, if not the best game ever made. Idk how astrobot won Goty over this.",10,2025-02-25,PLAYSTATION 5,user
alanwaketan,本作优缺点明显，先说优点。剧情演出爽，尤其是爱丽丝的部分让我这个蒂法党都沦陷了，No Promises to Keep单曲循环，Cloud到底在第三部要怎么找到和拯救爱丽丝啊，心急如焚！战斗体验又拔高了，合体技+合体动作爽。大地图中规中矩算是个合格的开放世界。但优点就这么多，剩下就要开喷了。作为一款2025年的游戏，重生已经完全落伍甚至有点不好玩儿。在手游大行其道的今天，一个3A游戏应该着重强调玩家无法通过手游体验的内容，但重生却在大量强调小游戏，一些手游上能获得更好体验的内容，实在是让人味同嚼蜡。这导致光彩夺目的主线被小游戏支线们拆得支零破碎，体验糟糕。我相信只看主线剧情视频通关的云玩家体验应该远好于正版玩家，又一个迫害正版玩家的游戏。然后制作组还塞了旧时代JRPG的负反馈机制，即缺省搞坏结局以及断档式难度的最终boss战，试图刺激玩家来重复游玩。再次重申在手游冲击下，玩家早就习惯各种宝宝巴士般引导，这种无聊且恶意的负反馈只会让我想摔手柄，比如约会任务一开门是条狗，比如打牌最后一战，比如那个又臭又长的最终迷宫，再比如boss战要全员一起上逼着我练所有角色。千言万语汇作一句话，只玩主线就好了。,9,2025-02-25,PLAYSTATION 5,user
mithraw_fr,"Amazing experience, the soundtracks are amazing, the graphics are great, the story, the dialogs and characters are outstanding! The tone of the game, so quircky is fitting perfectly that IP",10,2025-02-25,PLAYSTATION 5,user
PGwojowski,"Realistically I’d give it a 9.5, but I can only choose between 9 and 10 so I am giving it a 10. I bought this game a year ago, and I am still playing it. I am 150 hours in and playing on Hard Mode, and I am still having a ton of fun. I try to complete a side quest or two or three every night, and they’re all so funny. The cast is great! I was a little uncertain how I felt about some plot points a year ago, but a year later I feel really happy to have this title be a reality. It’s the best battle system in a Final Fantasy game probably since the PS1 era. It’s well adapted to modern gaming yet still retains the classic turn based play style. I love how difficult the game can be, as well. There are times when I’m seriously strategizing what materia to discard and what new combos to add in replacement. Absolutely cannot wait for part 3!",10,2025-02-24,PLAYSTATION 5,user
scofield9,"Difficult to rate. I feel that the developers put their heart in it, but it is just very boring for the biggest part. I was disappointed, but for fans it might be worth playing.",7,2025-02-23,PLAYSTATION 5,user
EmilyMonster,[SPOILER ALERT: This review contains spoilers.],9,2025-02-18,PLAYSTATION 5,user
HxCore,"trop bon, revivre l'histoire de l'original avec plus de détail et plus de profondeurs, un vrai bonheur. Le jeu en lui meme n'est pas exempt de défaut et en particulier l'exploration des zones ouvertes qui est vraiment bof et trop de mini jeux. Mais pour le reste, la musique, les décors, l'ambiance, les combats et surtout l'histoire...mais quelle tristesse de revivre ce moment iconique du jeu vidéo... j'en ai pleuré... 10/10 ! merci square !",8,2025-01-27,PLAYSTATION 5,user
izzy215,Filler fantasy. Honestly the amount of filler in this game is ridiculous. I have no clue how it got all of the critical acclaim.,3,2025-02-15,PLAYSTATION 5,user
Khizer,Final Fantasy 7 Rebirth isnot just a game it’s a Masterpiece PS5 exclusive game on console,10,2025-02-13,PLAYSTATION 5,user
ExtraChasm,A must buy. An incredible world map with my favourite musical score! The character development throughout is brilliant. Replayability is also offered with Hard mode offering unique enemy movements and unique musical compositions that are only in Hard mode. Over 150 hours into this game as I hunt down the Platinum trophy.,10,2025-02-13,PLAYSTATION 5,user
