reviewer,review_text,rating,review_date,platform,reviewer_type
Agno_Alencar,"A finalização da campanha do Shepard, um jogo quase perfeito, entrega muito do que promete e você sente que suas decisões tem consequência, o seu final falha, mas a jornada até lá vale a pena. Tipo um Game of Thrones da vida.",9,2025-02-28,PC,user
Flyk3,The Triology is an absolute masterpiece. A must play for all fans of good stories or sci-fi! ****/watch?v=lcfea0KENq8,10,2025-02-22,PC,user
Jazzaband,"The part of game series is third on my opinion. I adore this part, and I also don’t understand the people who give such a low review",10,2025-02-17,PC,user
pessoadoalem,"criticado por muitos por não ter vários finais diferentes como aconteceu em MASS EFFECT 2! Mass effect 3 é um jogo linear de pouca enrolação, e muita história. Se junte aos seus aliados dos jogos passados para combater a ameaça reaper que busca dizimar a galáxia, encontre raças alienígenas, explore diferentes planetas e faça a build que mais combina com o seu estilo de jogo, variando armas e poderes que podes usar. É um jogo bonito com uma história muito envolvente sim, e pra resolver um problema muito singular, ou um problema muito perigoso mesmo, é natural que hajam poucas soluções, e assim, há menos finais diferentes que o esperado, mas ainda eles seguem o tipo de atitude que o jogador tomara pra lidar com a solução. A jornada final de Commander Sheppard, meu primeiro Mass Effect q deixou o povo tiltado pq da pra carregar o Shepard dos outros jogos, e isso muda pouca coisa kkkkkkk",9,2025-01-21,PC,user
Blank1369,"Sadly.. One of my favorites series doesnt really end on a bang..Pros: -gameplay is improved and is fluid comparable to modern games -companions that you have met in the previous games will be here and you will decide the fates of them.. Some endings will make you cry :( -beautiful looking game Cons: -the ending. -the pacing is off at times when the tension is really high and the stakes keeps getting higher and higher the game dropped pace and went to a slice of life partying missions while it is nice but just jarring in my opinion -they couldve added way more companions from the previous games that actually joined the party.. Some of them are removed for weird reasons that i feel dont make sense, the roster in 2 is way better",6,2024-11-07,PC,user
Pomla,"Минус один балл из-за нелепых концовок, которые обесценивают твои игровые решения.",9,2024-11-04,PC,user
NukeSanity,"Welcome to the worst ending in gaming history, where this game not only ruins its entire plotline, but the plots of the 2 previous amazing games too. It is also the first BioWare game showing signs of BioWare's growing decline. For example, player renegade choices have become much more tame. ME2 allowed you to side with Cerberus as a renegade, now Cerberus are hardcoded as the bad guys because they're indoctrinated. ME3 is still a great game overall and offers lots of entertainment value until the ending, but the cons will always be a stain on this otherwise completely perfect trilogy.",4,2024-11-01,PC,user
Ivko92,"Great send off. Gameplay is good, on level of the second part. Story was great even though the ending is underwhelming. I understand the sacrifice and that is fine story wise but the choices in the end does not make much sense. But cinematic pieces in the game were so good and combined so well with the gameplay that I can at least look past the flaws in the end. New squad mates are not interesting as the previous ones, not even Javik but the old ones still shine. Music and sound are good quite as well the voices of the characters. One of the best gaming series ever made.",9,2024-10-30,PC,user
Kramer76,"Mass effect 3 concludeun trilogia meravigliosa,un grande gioco di ruolo e una storia meravigliosa,molto simile al secondo in fatto di gameplay,peccato per il finale un pochino scarso,ma la storia rimane meravigliosa",9,2024-09-03,PC,user
TrueOptimist,"Another top notch sequel to end the epic space saga. While a lot of people have issues with the original ending I found it completely appropriate. Some how it once again approves on every aspects of the combat and story telling. It just feels really fluid and lots of fun to play. The multiplayer was also not something this series really needed, but completely welcome and a hell **** time that adds even more longevity.",10,2024-03-11,PC,user
OHMYHEAD,The best part of the best space odyssey. The official ending is a million times better than the fans ending. The official ending literally foreshadowed a method of interacting with the AI that scientists have only now figured out 10 years after the game's release,10,2024-01-01,PC,user
SergiusMagnus95,"ME3 at the moment, with 30h played is my favorite Mass Effect. Ive already played 1 and 2. 2 dissapointed me quite a bit, I dont understand all the praise it has, like me3 is lots of times better on all aspects. Ive rode lots of comments saying that the ending is crap and it may be. But as I said im having a blast with me3. And you get to see both ur babes Ashley and Miranda. Oh and ofc Liara.",9,2023-12-01,PC,user
TheEmptyOne,[SPOILER ALERT: This review contains spoilers.],5,2023-11-07,PC,user
JustinForgueims,"Awesome game. The gameplay is almost perfect. Challenging combats, many options to face them. Many companions, elections and builds. All the scenarios are well done and unique. They removed the car/exploration sections that were so boring. Sprint duration was also fixed. Decoding minigames also removed. So only one annoying thing remains that's the artifacts exploration feature. There are lots of stories, side quests, companions quests, and most of them are fascinating and are driving bigger plot changes than ever. As usual in the franchise the dialogs are well written and interesting. There are still many dialog selections pointing to the same result or maybe not the expected one. The DLCs contribute with good stories and worth content. Historically many people complained about the overall story and specifically the endings. In my experience this 3rd chapter is the most epic of all, with the hardest and saddest decisions. And my ending, in my opinion, was a perfect conclusion for the saga.",9,2023-10-16,PC,user
Keron_Heruman,As good as Mass Effect 2 as a game with a better history (Not as good as the start in ME1). It implement very well all decisions you made along the saga. Played legendary edition,9,2023-08-23,PC,user
Ciocolici,"""Mass Effect 3"" stands out as one of the finest games I've had the privilege to dive into, and it serves as an exceptional conclusion to the trilogy. In terms of gameplay, it truly shines as the pinnacle of the series thus far. It's a package that feels complete, leaving me hard-pressed to find anything I'd want to alter. The seamless progression of the story, the intricate decisions that shape the narrative, the electrifying moments that get the heart racing, and the remarkable depth of the characters – all of these aspects are masterfully executed. While I'm well aware of the backlash the ending faced within the fanbase, I must say I don't share that sentiment. Personally, I found no issues with it. Instead, I found the ending enjoyable and genuinely satisfying. The legacy of Mass Effect is undeniable; it has firmly established itself as one of the standout video game series. This adventure was, is, and will forever remain among the best in the gaming world.",10,2023-08-20,PC,user
Ieronimg,"Mass Effect 3 nailed it! The story, the battles, the feels - everything was on point. Plus, the ending? I actually liked it. Props to BioWare for wrapping up the trilogy in style.",10,2023-08-09,PC,user
apokalipto,Very good game. I enjoyed playing this game a lot. I strongly recommend this.,8,2023-08-09,PC,user
Magikcarp,Gameplay - 9 Plot & Characters - 10 Storytelling - 8 Pacing - 8 Music & Sound - 10 Replayability - 7 Performance - 10,9,2023-07-19,PC,user
HydrophobikFish,"Mass Effect 3 is a good game, but ultimately a disappointing capstone to a stellar trilogy. It's high points are among the highest of any in Bioware's catalogue, but there are so many narrative problems surrounding them. Bioware couldn't make key friends too relevant to the game because they may be dead from the prior game, leaving many of the games most emotionally engaging stories a little listless. It has incredible peaks in its writing and incredible valleys, and has largely lost track of the original themes of the first game. It does boast some high quality combat mechanics that really shine in the weirdly high quality multiplayer mode. Overall a mediocre game elevated by its older siblings.",7,2023-06-09,PC,user
HyperLAW,"Mass Effect 3 is the top game of the ascending trilogy. The game was so good, so touching that the subjects of the critics we mostly see people online complain about are just crap and coming from crying baby gamers, not real gamers. This game is a master piece, and I hope Bioware would do a new game that reach this kinda greatness level.",10,2023-05-26,PC,user
AJCk19,"For something that was supposed to be far more advance than the 1st two games. It retro acted a lot of the story and didn't live up to a lot of marketing promises. However, the team did try to fix some of their mistakes through dlc. Gameplay was great, but the long term investment into the story didn't pay off. So a 5 star out of 10 (half for half) seems fair to me. Although, devs did try to come back and fix the story. I'll give it +1.5 more star on top of that. Metacritic doesn't allow half points, so a 6 it is.",6,2023-05-06,PC,user
Magical_Viktor,"Существуют просто Зло и Большое Зло, а за ними обоими в тени прячется Очень Большое Зло. Очень Большое Зло, Геральт, это такое, которого ты и представить себе не можешь, даже если думаешь, будто уже ничто не в состоянии тебя удивить. И знаешь, Геральт, порой бывает так, что Очень Большое Зло схватит тебя за горло и скажет: «Выбирай, братец, либо я, либо то, которое чуточку поменьше»",8,2023-04-30,PC,user
