reviewer,review_text,rating,review_date,platform,reviewer_type
Adreil044,Now I am thinking about how foolish I was when I was about to decide whether to drop the game or complete other endings. The game become surprisingly deep and significantly better after the first playthrough. The only thing I regret is choosing ending C over ending E; I can confirm that it was so much better. Anyway the game deserve a 10/10 for sure.,10,2025-03-13,PLAYSTATION 4,user
warOman,It was the best game of my lifetime for sure... true masterpiece by Yoko Taro,10,2025-03-12,PLAYSTATION 4,user
Fepsomething6,"Outstanding game, really loved it. A true example of art using video games as a medium. Beautiful and meaningful, will remain in your memory post complition. I'm thankful to the team that created it. Also very fun.",10,2025-02-23,PLAYSTATION 4,user
Anuj02,This a game you need to complete before you die. It's a absolute masterpiece. Ending E was so emotional i legit got in tears.,10,2025-01-29,PLAYSTATION 4,user
Jjoserk,"Una auténtica obra de arte audiovisual que todo el mundo debería jugar. La historia es sensacional y tremendamente emotiva con unos giros de guion sorprendentes. Una jugabilidad adictiva, desafiante y muy, muy buena. Los personajes, el mundo y su historia desbordan carisma.",10,2025-01-23,PLAYSTATION 4,user
RandomBolt,"This game is a remarkable experience from start to some 2/3 of the game. Music, animation, storyline, combat, it goes on and on. *Spoilers about game lenght* Even what people would expect to be worse part of the game execution I enjoyed a lot, even more than the first part of the game. I won't delve too much into it because spoilers. What I felt is towards the later part of the game, it fell apart somewhat, preventing this from being a resounding 10. Yoko Taro seems to mention a time crunch in interviews and I think it shows. At this point one is probably 25-30h into the game. I feel it would have been better to not stick to wanting a 35h+ game, as there would have been times the game could have ended well and passed on to a sequel. So there was some amount of ""one more thing"" and with lack of time the execution suffered. I hope this particular stage of the game is remade some time later, so we can enjoy what the creator intended for this remarkable game. As someone wisely said on a review, I wish I could forget this just to play it again.",9,2025-01-23,PLAYSTATION 4,user
frja,"A timeless masterpiece. Sound, music, mechanics, story and the very definition of what gameplay is are elevated to an overall height which makes this piece of art completely outstanding. Why 9? It would have deserved a next gen update for ps5.",9,2025-01-19,PLAYSTATION 4,user
whynothacked,"NiER: Automata стала моей любимой игрой Давно слышал об этом тайтле, но решил попробовать только сейчас и ни капли не пожалел - Великолепный сюжет - Красивая графика - Прекрасные анимации - Отличная оптимизация - Подробный лор с динамическим развитием событий - Огромное, даже ОГРОМНОЕ количество механик и возможностей Игра наполнена прекрасным сюжетом, динамическими боями, системой прокачки и великолепной историей 2B и 9S, которая, признаюсь, вывела на слезы. Никогда не думал что можно настолько тесно совместить бои и заботу друг о друге, желание быть рядом и защищать друг друга, при этом выполняя долг воинаОднозначно рекомендую это произведение искусства",10,2025-01-03,PLAYSTATION 4,user
shawshank975,"Not a horror game, but on my 3rd run, I was all goosebumps and shivering like crazy.",9,2024-12-19,PLAYSTATION 4,user
Luca17,"The game is basically intersting in first 5 hours. After that, repaeting gameplay and enemies only make the game more boring . The design of multiple endings give me a good experience in story telling. However, the gameplay is so awlful that i have to endure such torment to push the story forwards. Not recommend",1,2024-12-18,PLAYSTATION 4,user
