reviewer,review_text,rating,review_date,platform,reviewer_type
Egana,[SPOILER ALERT: This review contains spoilers.],10,2025-03-07,PLAYSTATION 4,user
annoyingbird,Mit Eldenring die Spitze der Souls Spiele! Die Kämpfe sind gestört schwierig und doch so befriedigend! 10/10,10,2025-02-28,PLAYSTATION 4,user
oknotokk,"> 10 Masterpiece. Combat system is really masterpiece, parrying feels sooo good. Boss fights are on a different level.",10,2025-02-27,PLAYSTATION 4,user
Nusjuro,The second souls game i beat and its my favorite. Best combat in gaming and the story is much more clearer then Elden Ring. Once you understand how to parry consistenly its such a amazing game.,10,2025-02-09,PLAYSTATION 4,user
BaconEata,"yo this game is a MASTERPIECE, its really hard but death isn't as punishing as in the Dark Souls trilogy so you feel like trying again, the runbacks are most of the time short and the other longer runbacks are never too crazy, the bosses are challenging but fun to master and so are the game mechanics, the game looks really good for its great performance and size, its just the perfect game to me.",10,2025-02-27,PLAYSTATION 4,user
ArchieBalduke,Love me a rhythm game. Love a crazy prosthetic arm weapon. Best boss roster in any game I’ve ever played by virtue of sheer consistent quality. Maybe like one stinker? Also I love to see FromSoftware start to dip their toes in writing a comprehensible narrative and providing some proto-Metroidvania-type exploration.,9,2025-02-13,PLAYSTATION 4,user
Elso,Gun pointed at head: Name a single major flaw of Sekiro: Shadows Die Twice: *Gets shot*,10,2025-02-03,PLAYSTATION 4,user
SilentHillLover,Best FROMSOFT game ever! Hardcore as all hell! Smooth as butter! Love it so much!,10,2025-02-03,PLAYSTATION 4,user
Tomo96tzob,"Love it , just master the parry system and u will have a great time and experience. Its tough and pain in the beginning but when U get to parry , meeeenn it’s so good.Really good game",10,2025-02-01,PLAYSTATION 4,user
Speedwagon3000,holllllly i love this game all though that **** ape I'm stop play for like a month but all the other bosses are so good and mini bosses but that the beginning Idid not like it but when the beat gyoubu I LOVVVED IT!!!!!!if you have not played it play it NOW!!! but it is expense but you can do somethingdo not condone you can 𝕡𝕚𝕣𝕒𝕥𝕖 the game BUT PLS PAY FOR THE GAME!!!!!!!!!!!!! over all I lovvvve the game,10,2025-01-29,PLAYSTATION 4,user
Ma9loob,The best game ever. Gameplay will make you satisfied and will make your day But this game isn't for everyone,10,2025-01-22,PLAYSTATION 4,user
