reviewer,review_text,rating,review_date,platform,reviewer_type
horitoshi,"Легендарная игра, которую я, к сожалению, так и не пройду. Вроде и графика хорошая, и сеттинг великолепный, и персонажи живые, да и вроде сюжет ничего такой, но меня эта игра абсолютно не завлекает. Интереса в неё играть - 0, хоть иногда желание снова попробовать Ведьмак время от времени появляется. В общем, игра не для всех, но фанатам фэнтези советую.",8,2025-03-13,PC,user
fxckben,"I round up to a 10. I love this game. It has almost everything i want from a RPG game. Only things that are bothering me are: Combat I dont hate it but i dont really like it on harder difficulties its kinda fun, Pacing of the last half especially the quest with the assassination of radovid and the plot with the white frost, too many unrewarding question marks in the water in skellige and lastly that i want more content :'(. There never been a game that brought about such a big void in one after completing it. My favourite Parts about the game were: Velen and Novigrad as areas i love the atmosphere, the story with the side quest connected to it such as the baron one, the characters and kaer morhens landscape. Lastly the DLC are superb pls dont overlook them, Heart of Stone has probably the best writing i have ever witnessed in gaming and Blood and Wine is a beatiful end to geralts story.",10,2025-03-09,PC,user
IrisHoxxi,"Best game of all time, bought it in 2020 and played it on ps4. loved it. bought again the gold edition for pc. Loved it more. Play it. If you love immersive rpg open worlds this is your game.",10,2025-03-07,PC,user
Shadow2131,"Игра захватывает своим сюжетом, а возможность на него влиять впечатляет еще больше. Особенной изюменкой являются многочисленные отсылки именно к славянской мифологии, которую не часто встретишь в играх. Удивительно, но даже спустя 10 лет графика не выглядит устаревшей, а временами даже поражает. Саундтрек настолько запоминается, что хочется слушать его даже отдельно от игры. Игра исключительного уровня, о которой будут вспоминать еще долгие десятилетия Графика: 10/10 Атмосфера: 10/10 Сюжет: 10/10",10,2025-03-03,PC,user
Bartongar702,[Pros] •Exceptionally well-written story and dialogues. •Immersive open world filled with rich details. •Choices that significantly impact the storyline. [Cons] •Combat mechanics can feel sluggish at times. •Inventory management is somewhat cumbersome.,8,2025-02-27,PC,user
ethancote98,"Even though it came out in 2015, The Witcher 3 remains one of the best RPGs ever made. The storytelling, side quests, and immersive world are still top-tier. If you've never played it, the updated version with enhanced graphics makes it even better",8,2025-02-27,PC,user
benjamin2466,"Geralt is back in a Next-Gen version with better graphics. The story is as gripping as ever, and now it's even more immersive. Combat is smooth, and there's so much to do! Side quests, monster hunting, and world-building are still top-notch. If you love open-world RPGs and rich storytelling, this game is one of the best out there.",10,2025-02-24,PC,user
prostoN,"The Witcher 3: Wild Hunt is definitely an experience worth spending your time on, I and the other players will back that point up.",10,2025-02-19,PC,user
rekido,"super game-this is one of the best games I've played, amazing - a work of art",10,2025-02-12,PC,user
Kajav,"The Witcher 3 mejora en todo la formula conseguida en el 2, dando una evolución en su esquema jugable, historia y universo. Lo mejor: - La historia sigue siendo buena.- Las misiones secundarias (algunas) son realmente buenas. - La música, de primera como siempre. - El mapa, que esta vez es realmente abierto. Lo peor: - Demasiado cargado, hay misiones de relleno por todas partes. - Algunas partes de la música se sienten demasiado repetidas. - La duración de por si es exagerada con tanto contenido de relleno.",8,2025-02-10,PC,user
lampik,"The Witcher 3: Wild Hunt is a masterpiece, offering an immersive world, gripping story, and deep gameplay.",10,2025-02-09,PC,user
darkretailer,"97/100 This game set a new standard for me. A huge world with great main and side quests, great (and also terribly unlikable) characters and an absolutely great soundtrack.",10,2025-02-02,PC,user
Kikouk,"This game is huge, certainly, and the story and background are great, but who will spend more than 100 hours listening to speeches and do side-quests that are really repetitive ? I don't understand why there is such a hype around this game. I've finished it, and it don't let me with a strong impression of pleasure in gameplay...",7,2025-01-27,PC,user
Slanderous,"one of the games of all time, every RPG/action game lover should play it, geraldo cool looking guy with swords x2",10,2025-01-22,PC,user
VincentValen,"Top 5 game all time. Absolutely amazing Story, characters, graphics, gameplay, side quests, music, it's so easy to get lost in this world, wanting to explore its beauty and mystery. You will likely love this game. It's usually on a good discount on steam.",10,2025-01-15,PC,user
