usernames,platforms,playtimes,retirement_reasons
53x11,Xbox Series X/S,4.0,"Too hard, too frustrating"
AAAAAAidan,PlayStation 5,12.0,Godrick the Grafted
adr14noc,PC,20.0,Muito dificil para jogar sozinho e offline
ADZX21,Xbox One,21.0,Kratos Build
Aleat,Xbox Series X/S,0.0,Souls da from é chato para mim
Ali_0,PC,20.0,It was also consuming and i didnt have enough time
Alu,PlayStation 5,0.0,"Not my game. Difficulty is frustrating, tricky controls."
amara_,PC,2.0,will restart on ps5
Arioth89,PlayStation 5,0.0,Abandonado en el boss final
Arrebi,PC,17.0,No me funciona en la pc
Athruntalan,PlayStation 5,43.0,For now. Reached the grand elevator but I'm feeling fatigued with the poor boss design.
ATrain0,PC,0.0,Didn't Finish due to difficulty
BemBlob,Xbox Series X/S,5.0,"Not in the Mindset for a Challenge like this, will try again one day"
bleyzer,PC,10.0,Frustrated
Booker_AD,PlayStation 5,45.0,DARK SOULS GAMES ARE SHIT
Budlo,PC,0.0,"I just can't, man"
bwkeefe,Xbox Series X/S,22.0,too hard
cabbagehunt,PC,189.0,First playthrough got until Queen Redala. Second playthrough got to the snow mountains.
cadedede,PC,60.0,"O jogo tem muita histórias, muitas side quests, me deixou querendo tudo e eu não soube lidar"
casanovahs,PlayStation 5,70.0,"I'm not excited to comeback and play more 70h, but the game is incredible."
Cdw01,Xbox Series X/S,0.0,Too hard
CeIeion,PlayStation 5,0.0,Requires commitment and time to complete. Will come back to this some time.
cyberx9901,Linux,12.0,Não consigo progredir
DarkDesGE,PC,0.25,uma hora volto
dezka,PlayStation 5,0.0,Demasiado difícil
dodopisquano,PC,2.0,ill save the game later
DR0CK9,PlayStation 5,18.0,Kind of boring
DrBlumpkin,PC,44.0,March 2022. Played too much too quick and got burnt out + Drastic level jump. Will play again.
DukeEdwardI,PC,0.0,"Got as far as the snowy mountain area. Progress slowed and enemies were tankier, so fell off. Had fun though!"
Dunnington,Xbox Series X/S,15.0,Shit's exhausting
eatkale,PC,51.0,fuck this
Empyrea,PlayStation 4,2.0,"I tried this game for 2 hours. I love RPGs, but sadly the difficulty of this game made me quit very fast."
FanUmbrellaJacket,PC,1.0,Not my style
Ferd,PC,15.0,"desde 10-04-22, pasé el primer jefe"
GabeXXI,Xbox Series X/S,14.0,I really tried to get into it but lack of progression and gloomy environment is the reason I am retiring.
Gavs,Xbox Series X/S,0.0,Currently too frustrated with it
Getharitan,Xbox Series X/S,0.0,Unlikely to ever start
GhosT_NoErrOr,Xbox Series X/S,7.0,To hard
ghuletor,PlayStation 5,106.0,"my first playthrough before I switched to PC, did most of the game, lvl 129"
h0llow,PC,86.0,Too Hard and too long.
hadriel89,PC,80.0,"Really good game, just not my thing. Minimal story and don't find the difficulty engaging"
Hardgear,PC,5.0,co-op 3
ian200,PC,0.0,"Ok, I'm not going to crack this."
IllusoryThrall,PC,0.0,"Will go back to and restart, just not right now."
IncineDom,PC,8.0,"Played with a friend on his account, but he lost motivation"
Jackabyte,Xbox Series X/S,15.0,Just beat Godrick.
JakePrest2000,PlayStation 5,0.0,Nearly finished
jamesj223,PlayStation 5,100.0,Maybe 100 hours in? I think I'm mid way through volcano manor? Life got busy. Will pick it up again at some point.
JaYearl,Xbox One,52.0,Got busy.. couldnt finish. Will come back to it with a new playthrough
JaySagaXP,PC,0.0,"May go back in spare time, paused to explore other games"
JernauGurgeh,PlayStation 4,24.0,"Yet another incredible FromSoftware game that has played havoc with my blood pressure... I tried, but I died."
JollyDoesItSo,PC,0.0,"Wasn't my kind of game, Too Expansive for me and Struggled to get into"
Jor97,PC,32.0,Retired 8 May
Joseph_Hoestar,PC,36.0,Need a break from big open worlds
kaiwarrior73,PC,0.0,Too much hard and alot dark
Karre80,PC,17.0,Not feeling it
kartoshka,Xbox Series X/S,19.0,did not enjoy the difficulty level
keramique99,PC,1.0,QTE
Koimonoseph,PC,62.0,Time to admit that after two years of on and off gameplay. I'm never getting back into this. Cool game though.
KollywoodHills,PC,0.0,must play more
krush62,Xbox Series X/S,0.0,no time
latenightenjoyer,PC,0.0,will not play due to use of kernel level anti-cheat
Lieber,PC,22.0,"I don´t like the open world feature in soul's games, I get lost and there is no clear path to follow."
Lieds,PC,45.0,Zu lange
LittleLab,PC,104.0,too hard lol
LNG_Weber,PlayStation 5,23.0,"O jogo é excelente, mas souls-like não é pra mim"
LordEng1ish,PC,100.0,"Uninstalled, fell off."
LordOfWheat,PC,59.0,the fucking giant
Lucariow,PlayStation 4,3.0,going to finish my first playthrough
LuciusYousi,PC,0.0,Antes de Maliketh. Pereza de juego. 50h aprox.
luke89,PC,65.0,unbalanced at the end
luthienanwamane,PlayStation 5,35.0,End of Raya Lucaria
michaelleemac,PC,0.0,No plot so gets a bit tediuous for me.
mikeycp,PC,15.0,Co-op is poorly implemented and I do not enjoy playing solo. Summon ashes also suck right out of the box.
moewedes,PlayStation 5,4.0,Too hard
Mothost,PC,30.0,Retired after 30 hours. Gameplay is good but do not vibe/care for the style or story. 4/42 achivements done.
MrGowzu,Xbox Series X/S,0.0,132
nchtrnl,Xbox Series X/S,73.0,"Lost motivation to play, might pick back up eventually."
netjeff,PC,37.0,"Stopped playing May 14, 2023"
Nikkilite,PC,12.0,"Simply not for me. I didn't like the open world aspect that much, as i like to have some sense of direction"
NinjaXI,PC,6.0,"Elden Ring Reforged, not vibing with it"
Obelia,PC,122.0,"RL125, Bow build, final boss not beat"
okna,PC,69.0,flemme
omega2943,PlayStation 5,61.0,"bored, not interested to continue"
PhishyPhucboi,PlayStation 5,0.0,Draconian Tree Sentinel unbeatable. Combat gets a bit boring
PrilDeterjan,PC,0.0,It is pretty hard.
ps2bestconsole,PC,60.0,Enjoyed the hell out of it for 50 hours but 10 hours after that I wasn't having fun anymore. I'll give it a chance later
PsychXVI,PC,69.0,Liked the game too much to finish it.
RattleSack,PlayStation 5,0.0,"Sold, may rebuy"
Rdriigo,PC,1.0,En algun momento lo retomo
redfield70x7,PlayStation 4,5.0,"While so much about the world, setting, and gameplay had me hooked, it’s ultimately still too difficult w/ no options."
reFACADE,PC,35.0,im not even past radahn lol
Reina297,PlayStation 5,62.0,Most likely won't come back to it
RodsKaden,PC,343.0,Computer can't take it
Rxdeus,PC,67.0,"Terrible, most overrated game of all time."
RyanHeals,PC,65.0,I just got so bored of this game that I don't even want to play it anymore
Ryroan,PlayStation 5,0.0,Played and completed on PS5 to justify collector's edition purchase ;P
S1NUS,PC,0.0,The saves are gone
Salathar,PC,33.0,Where am I? Where to go? Where to where?
scud0066,PC,0.0,Preference is for PlayStation 5 with this one. Will go back to it on Steam Deck I'm sure though.
ShadowDoor,PlayStation 5,0.0,Too hard and dark
Shadsan,PC,45.0,Overstays its welcome so much
ShawnR,Xbox Series X/S,0.0,Basically Beat the Game - Was Trolling Malenia When I Fell Off
SirSeul,PC,11.0,"A break of 2 months, I'll come back later"
SnakeSteak,PC,72.0,Couldn't beat the giant boss :P
solv33x3,PC,0.0,Stopped at Margit.
SpookyThanatos,Xbox Series X/S,50.0,Decided to wait for DLC (and maybe swap to PC?) before playing again.
starscreamed420,PlayStation 5,30.0,"May play again eventually, just too complicated for me."
StigDagerman,PC,43.0,Got repetitive
Surehart,PC,0.25,Не понравилось
SyNcC23,PC,172.0,Retiring before DLC
syncVince,PC,55.0,Arrived at Leyndell. Also played a bit of the DLC.
THE_SIZZLE_KING,PlayStation 5,48.0,CBA
TheBrazilian7,PC,85.0,Lost my save files :( - Gonna restart it in the future
thesenate66,PC,0.0,Hiatus
ThisIzLeon,Xbox Series X/S,30.0,Will come back to this.
Thranto,PlayStation 5,5.0,"Too big , too difficult. Can’t be bothered grinding and smashing my head with a brick"
triplebruin,PC,20.0,stop playing
TripleFFFUser,PlayStation 4,8.0,Restarting file on the PC version
TURBORACER,PC,122.0,blade of miquella
utbies88,PlayStation 4,41.0,41 uur
VanTheHusko,PlayStation 5,0.0,"Dropped at Elden Beast, ain't got the patience."
