"DateTime","Positive reviews","Negative reviews","Rating"
"2022-02-25 00:00:00",11759,-7883,59.86661236126667
"2022-02-26 00:00:00",36326,-21128,63.22623316044139
"2022-02-27 00:00:00",58969,-26686,68.84478430914716
"2022-02-28 00:00:00",77582,-29324,72.57029539969693
"2022-03-01 00:00:00",91914,-30727,74.94557285084107
"2022-03-02 00:00:00",106996,-31909,77.02818473057125
"2022-03-03 00:00:00",136307,-33280,80.37585428128335
"2022-03-04 00:00:00",148181,-33889,81.38682924150052
"2022-03-05 00:00:00",162322,-34756,82.36434305198956
"2022-03-06 00:00:00",174888,-35520,83.11851260408349
"2022-03-07 00:00:00",185206,-35976,83.73466195260012
"2022-03-08 00:00:00",194790,-36313,84.28709276815965
"2022-03-09 00:00:00",203261,-36780,84.67761757366449
"2022-03-10 00:00:00",211773,-37334,85.01286595719911
"2022-03-11 00:00:00",219420,-38033,85.22720651924817
"2022-03-12 00:00:00",226509,-38600,85.43995111444727
"2022-03-13 00:00:00",235000,-39273,85.68105500723732
"2022-03-14 00:00:00",243427,-39795,85.9491847384737
"2022-03-15 00:00:00",249641,-40173,86.13835080430897
"2022-03-16 00:00:00",255893,-40541,86.32376852857634
"2022-03-17 00:00:00",261863,-40880,86.49679761381765
"2022-03-18 00:00:00",276593,-41302,87.00765976187105
"2022-03-19 00:00:00",284156,-41646,87.21738970294841
"2022-03-20 00:00:00",290399,-42112,87.33515582943122
"2022-03-21 00:00:00",296307,-42492,87.45805034843669
"2022-03-22 00:00:00",305697,-42981,87.67315402749814
"2022-03-23 00:00:00",313196,-43162,87.88802271872667
"2022-03-24 00:00:00",318041,-43396,87.9934815749356
"2022-03-25 00:00:00",321576,-43633,88.05259454175555
"2022-03-26 00:00:00",325413,-43936,88.10447571267284
"2022-03-27 00:00:00",329635,-44302,88.15254976105601
"2022-03-28 00:00:00",333474,-44547,88.21573404652122
"2022-03-29 00:00:00",336678,-44689,88.28189119666882
"2022-03-30 00:00:00",339964,-44869,88.34065685635068
"2022-03-31 00:00:00",342871,-45040,88.3890892498537
"2022-04-01 00:00:00",345716,-45215,88.43402032583755
"2022-04-02 00:00:00",348308,-45372,88.47490347490347
"2022-04-03 00:00:00",351258,-45594,88.51108221704817
"2022-04-04 00:00:00",354539,-45856,88.54730953183731
"2022-04-05 00:00:00",360236,-46147,88.6444560919133
"2022-04-06 00:00:00",362444,-46282,88.6765216795604
"2022-04-07 00:00:00",364571,-46403,88.70901808873553
"2022-04-08 00:00:00",366554,-46524,88.7372360667961
"2022-04-09 00:00:00",368750,-46734,88.75191343108278
"2022-04-10 00:00:00",371348,-46918,88.78273634481405
"2022-04-11 00:00:00",373560,-47042,88.81555484757561
"2022-04-12 00:00:00",375588,-47170,88.84231640796862
"2022-04-13 00:00:00",377376,-47300,88.86209722235304
